Date,Open,High,Low,Close,Identifier
2005-10-19,3260.2,3269.85,3198.4,3219.9,NIFTY IT
2005-10-18,3305.5,3353.1,3247.95,3266.5,NIFTY IT
2005-10-17,3320.6,3340.45,3291.1,3307.3,NIFTY IT
2005-10-14,3352.65,3369.05,3305.6,3316.7,NIFTY IT
2005-10-13,3431.15,3431.15,3340.3,3356.1,NIFTY IT
2005-10-11,3396.8,3454.25,3359.5,3429.9,NIFTY IT
2005-10-10,3368.35,3407.05,3359.8,3382.9,NIFTY IT
2005-10-07,3350.65,3391.55,3319.25,3345.2,NIFTY IT
2005-10-06,3418.5,3419.4,3335.2,3350.2,NIFTY IT
2005-10-05,3439.95,3449.95,3412.0,3427.9,NIFTY IT
2005-10-04,3355.0,3442.6,3352.8,3435.7,NIFTY IT
2005-10-03,3279.1,3359.8,3279.1,3354.8,NIFTY IT
2005-09-30,3293.45,3317.05,3265.55,3296.5,NIFTY IT
2005-09-29,3280.4,3319.55,3272.1,3292.5,NIFTY IT
2005-09-28,3272.3,3273.9,3223.3,3265.5,NIFTY IT
2005-09-27,3275.7,3306.25,3249.5,3272.7,NIFTY IT
2005-09-26,3154.75,3279.8,3154.75,3274.5,NIFTY IT
2005-09-23,3145.75,3203.65,3138.2,3153.2,NIFTY IT
2005-09-22,3272.5,3275.4,3142.45,3156.9,NIFTY IT
2005-09-21,3322.95,3327.55,3208.55,3277.4,NIFTY IT
2005-09-20,3278.75,3338.45,3246.5,3320.2,NIFTY IT
2005-09-19,3296.95,3304.1,3274.75,3278.5,NIFTY IT
2005-09-16,3285.8,3296.95,3261.35,3284.6,NIFTY IT
2005-09-15,3232.0,3283.3,3231.6,3280.2,NIFTY IT
2005-09-14,3238.75,3267.4,3201.95,3231.1,NIFTY IT
2005-09-13,3225.05,3241.55,3215.65,3238.3,NIFTY IT
2005-09-12,3343.9,3343.9,3206.5,3226.1,NIFTY IT
2005-09-09,3167.65,3216.95,3167.65,3186.0,NIFTY IT
2005-09-08,3186.1,3210.0,3185.2,3203.8,NIFTY IT
2005-09-06,3186.7,3205.6,3164.4,3183.3,NIFTY IT
2005-09-05,3224.1,3241.45,3179.1,3186.4,NIFTY IT
2005-09-02,3223.6,3243.5,3186.65,3208.0,NIFTY IT
2005-09-01,3198.1,3232.75,3198.1,3219.3,NIFTY IT
2005-08-31,3132.05,3185.35,3117.05,3177.1,NIFTY IT
2005-08-30,3065.75,3137.3,3065.75,3132.8,NIFTY IT
2005-08-29,3084.45,3086.75,3019.95,3061.1,NIFTY IT
2005-08-26,3049.2,3092.0,3027.85,3075.2,NIFTY IT
2005-08-25,2998.15,3058.9,2987.1,3049.8,NIFTY IT
2005-08-24,3037.85,3037.85,2978.3,2999.2,NIFTY IT
2005-08-23,3069.6,3092.95,3023.2,3032.6,NIFTY IT
2005-08-22,3070.6,3116.25,3061.15,3069.6,NIFTY IT
2005-08-19,3067.3,3085.85,3058.1,3064.3,NIFTY IT
2005-08-18,3074.45,3094.25,3058.25,3067.6,NIFTY IT
2005-08-17,3009.65,3075.9,2998.55,3069.1,NIFTY IT
2005-08-16,3007.25,3031.1,2997.55,3010.7,NIFTY IT
2005-08-12,3080.0,3086.75,3009.05,3015.1,NIFTY IT
2005-08-11,3073.95,3086.15,3047.8,3065.8,NIFTY IT
2005-08-10,3007.4,3072.5,3007.4,3065.6,NIFTY IT
2005-08-09,2985.0,3015.05,2967.5,2994.5,NIFTY IT
2005-08-08,3025.15,3029.25,2979.15,2992.2,NIFTY IT
2005-08-05,3052.25,3062.95,3020.95,3025.9,NIFTY IT
2005-08-04,3079.5,3098.25,3036.45,3058.4,NIFTY IT
2005-08-03,3021.85,3082.0,3021.85,3072.3,NIFTY IT
2005-08-02,2984.7,3027.1,2966.55,3019.1,NIFTY IT
2005-08-01,2980.7,2982.0,2934.05,2955.8,NIFTY IT
2005-07-29,2975.95,3008.3,2970.1,2985.9,NIFTY IT
2005-07-27,2962.45,2990.2,2950.9,2984.9,NIFTY IT
2005-07-26,2965.65,2969.85,2932.6,2947.7,NIFTY IT
2005-07-25,2986.4,3001.45,2960.85,2965.1,NIFTY IT
2005-07-22,2958.3,2989.75,2915.4,2984.9,NIFTY IT
2005-07-21,2983.75,3016.15,2945.95,2958.1,NIFTY IT
2005-07-20,2982.45,3000.9,2972.4,2975.7,NIFTY IT
2005-07-19,2992.4,3004.75,2968.95,2981.5,NIFTY IT
2005-07-18,2914.1,2992.1,2914.1,2982.3,NIFTY IT
2005-07-15,2868.5,2898.95,2844.5,2893.8,NIFTY IT
2005-07-14,2917.95,2935.45,2834.95,2840.9,NIFTY IT
2005-07-13,2926.85,2954.6,2908.8,2916.3,NIFTY IT
2005-07-12,2984.85,2989.35,2905.5,2930.7,NIFTY IT
2005-07-11,3000.05,3041.0,2992.0,3003.5,NIFTY IT
2005-07-08,2974.2,3017.2,2974.2,2999.7,NIFTY IT
2005-07-07,3033.3,3051.45,2958.25,2969.7,NIFTY IT
2005-07-06,3010.8,3033.55,3003.0,3020.5,NIFTY IT
2005-07-05,3081.4,3095.3,2998.0,3006.6,NIFTY IT
2005-07-04,3051.2,3083.25,3038.5,3079.1,NIFTY IT
2005-07-01,60.65,3062.75,3041.8,3051.3,NIFTY IT
2005-06-30,3009.15,3082.95,3009.15,3072.1,NIFTY IT
2005-06-29,2991.75,3028.9,2985.85,3022.6,NIFTY IT
2005-06-28,3024.95,3031.5,2981.15,2987.2,NIFTY IT
2005-06-27,3009.85,3047.85,3009.85,3023.0,NIFTY IT
2005-06-24,3021.0,3046.65,2988.8,3023.2,NIFTY IT
2005-06-23,3062.35,3067.35,3026.85,3030.8,NIFTY IT
2005-06-22,3034.6,3079.7,3034.6,3068.7,NIFTY IT
2005-06-21,3028.75,3059.25,2998.85,3046.6,NIFTY IT
2005-06-20,2931.4,3029.15,2931.4,3024.5,NIFTY IT
2005-06-17,2903.95,2962.25,2903.95,2953.3,NIFTY IT
2005-06-16,2933.75,2963.85,2931.55,2951.1,NIFTY IT
2005-06-15,2915.6,2945.25,2913.55,2941.2,NIFTY IT
2005-06-14,2920.55,2926.0,2898.55,2913.3,NIFTY IT
2005-06-13,2907.55,2923.7,2887.0,2908.9,NIFTY IT
2005-06-10,2914.75,2944.65,2890.45,2896.2,NIFTY IT
2005-06-09,2958.05,2959.65,2904.5,2912.5,NIFTY IT
2005-06-08,2913.65,2964.0,2909.85,2957.8,NIFTY IT
2005-06-07,2908.75,2919.55,2890.8,2912.3,NIFTY IT
2005-06-06,2908.5,2928.05,2884.3,2893.4,NIFTY IT
2005-06-04,2918.1,2918.1,2901.3,2913.4,NIFTY IT
2005-06-03,2862.25,2926.5,2854.6,2920.1,NIFTY IT
2005-06-02,2902.65,2914.1,2852.95,2858.9,NIFTY IT
2005-06-01,2933.5,2933.65,2894.35,2900.2,NIFTY IT
2005-05-31,2900.45,2938.45,2890.0,2933.0,NIFTY IT
2005-05-30,2883.9,2925.25,2881.95,2899.5,NIFTY IT
2005-05-27,2903.85,2926.45,2880.0,2896.5,NIFTY IT
2005-05-26,2770.65,2903.55,2769.4,2888.9,NIFTY IT
2005-05-25,2791.6,2844.2,2772.8,2828.5,NIFTY IT
2005-05-24,2812.25,2812.25,2765.0,2800.0,NIFTY IT
2005-05-23,2725.9,2784.35,2718.0,2772.0,NIFTY IT
2005-05-20,2694.6,2735.2,2673.05,2724.5,NIFTY IT
2005-05-19,2665.5,2713.35,2665.5,2697.7,NIFTY IT
2005-05-18,2673.0,2673.0,2620.7,2655.6,NIFTY IT
2005-05-17,2707.75,2715.45,2663.9,2672.9,NIFTY IT
2005-05-16,2644.05,2690.45,2644.05,2685.9,NIFTY IT
2005-05-13,2662.35,2662.35,2637.7,2643.7,NIFTY IT
2005-05-12,2651.5,2669.65,2645.6,2662.1,NIFTY IT
2005-05-11,2660.95,2661.45,2634.5,2655.1,NIFTY IT
2005-05-10,2690.9,2695.75,2661.55,2669.0,NIFTY IT
2005-05-09,2644.75,2695.95,2644.75,2689.3,NIFTY IT
2005-05-06,2530.85,2649.65,2530.85,2640.8,NIFTY IT
2005-05-05,2582.6,2626.1,2582.6,2609.1,NIFTY IT
2005-05-04,2545.05,2576.0,2545.05,2571.3,NIFTY IT
2005-05-03,2563.05,2571.25,2537.6,2541.0,NIFTY IT
2005-05-02,2588.15,2588.15,2539.65,2562.9,NIFTY IT
2005-04-29,2577.9,2577.9,2531.55,2539.7,NIFTY IT
2005-04-28,2549.55,2575.35,2539.85,2561.2,NIFTY IT
2005-04-27,2567.6,2578.45,2534.3,2554.9,NIFTY IT
2005-04-26,2633.5,2633.5,2593.0,2596.8,NIFTY IT
2005-04-25,2656.95,2656.95,2623.0,2635.6,NIFTY IT
2005-04-22,2598.95,2648.3,2598.95,2639.2,NIFTY IT
2005-04-21,2522.85,2557.9,2496.4,2552.7,NIFTY IT
2005-04-20,2535.55,2535.55,2461.9,2514.1,NIFTY IT
2005-04-19,2650.25,2694.1,2512.85,2540.9,NIFTY IT
2005-04-18,2658.9,2682.65,2615.85,2642.4,NIFTY IT
2005-04-15,2775.35,2775.35,2664.45,2670.0,NIFTY IT
2005-04-13,2835.55,2857.55,2812.6,2833.1,NIFTY IT
2005-04-12,2785.0,2834.9,2784.45,2825.8,NIFTY IT
2005-04-11,2851.0,2855.65,2792.4,2799.2,NIFTY IT
2005-04-08,2918.5,2920.7,2850.35,2856.7,NIFTY IT
2005-04-07,2945.15,2967.35,2912.3,2921.3,NIFTY IT
2005-04-06,2920.25,2948.9,2916.85,2942.1,NIFTY IT
2005-04-05,2997.65,2997.65,2907.7,2917.2,NIFTY IT
2005-04-04,2945.15,2982.45,2924.3,2934.0,NIFTY IT
2005-04-01,2927.7,2951.75,2891.2,2946.3,NIFTY IT
2005-03-31,2847.9,2949.65,2836.5,2923.1,NIFTY IT
2005-03-30,2801.35,2829.3,2782.6,2813.0,NIFTY IT
2005-03-29,2835.15,2835.15,2787.5,2805.4,NIFTY IT
2005-03-28,2817.7,2874.1,2817.7,2834.9,NIFTY IT
2005-03-24,2854.25,2874.45,2805.15,2816.5,NIFTY IT
2005-03-23,2912.45,2918.15,2842.8,2854.2,NIFTY IT
2005-03-22,2962.55,2962.55,2911.05,2916.0,NIFTY IT
2005-03-21,2947.95,2967.55,2931.25,2949.7,NIFTY IT
2005-03-18,2929.65,2950.85,2884.5,2946.8,NIFTY IT
2005-03-17,2937.1,2961.95,2920.5,2929.9,NIFTY IT
2005-03-16,2939.7,2964.65,2930.85,2937.2,NIFTY IT
2005-03-15,2963.35,2968.5,2931.8,2939.7,NIFTY IT
2005-03-14,2940.45,2985.05,2923.35,2962.5,NIFTY IT
2005-03-11,2946.8,2973.4,2938.95,2945.8,NIFTY IT
2005-03-10,2963.15,2965.25,2920.65,2946.1,NIFTY IT
2005-03-09,2969.25,2995.1,2934.05,2962.4,NIFTY IT
2005-03-08,2959.7,2998.0,2946.75,2974.3,NIFTY IT
2005-03-07,2947.25,2964.3,2935.75,2958.5,NIFTY IT
2005-03-04,2911.85,2952.15,2911.85,2942.5,NIFTY IT
2005-03-03,2856.05,2917.95,2855.35,2907.1,NIFTY IT
2005-03-02,2849.8,2875.15,2831.65,2855.7,NIFTY IT
2005-03-01,2918.35,2918.35,2842.55,2848.2,NIFTY IT
2005-02-28,2856.6,2925.25,2822.0,2919.0,NIFTY IT
2005-02-25,2851.6,2882.95,2837.2,2854.7,NIFTY IT
2005-02-24,2855.3,2876.25,2848.15,2854.7,NIFTY IT
2005-02-23,2872.35,2872.35,2843.45,2849.9,NIFTY IT
2005-02-22,2867.4,2881.0,2838.55,2874.1,NIFTY IT
2005-02-21,2891.9,2891.9,2844.9,2856.7,NIFTY IT
2005-02-18,2904.3,2913.85,2881.9,2890.3,NIFTY IT
2005-02-17,2923.4,2923.4,2873.55,2907.3,NIFTY IT
2005-02-16,2931.6,2958.25,2907.85,2924.4,NIFTY IT
2005-02-15,2943.2,2943.2,2905.9,2930.5,NIFTY IT
2005-02-14,2897.9,2957.55,2897.9,2944.1,NIFTY IT
2005-02-11,2842.35,2875.1,2833.1,2871.7,NIFTY IT
2005-02-10,2836.3,2836.3,2807.25,2819.9,NIFTY IT
2005-02-09,2828.15,2852.25,2828.15,2836.2,NIFTY IT
2005-02-08,2825.85,2835.3,2805.15,2827.3,NIFTY IT
2005-02-07,2877.5,2889.95,2807.35,2816.0,NIFTY IT
2005-02-04,2912.35,2912.35,2849.9,2870.3,NIFTY IT
2005-02-03,2829.65,2873.7,2825.8,2862.2,NIFTY IT
2005-02-02,2842.2,2875.5,2819.7,2827.2,NIFTY IT
2005-02-01,2852.7,2874.75,2825.15,2834.2,NIFTY IT
2005-01-31,2807.95,2869.55,2804.55,2849.4,NIFTY IT
2005-01-28,2729.25,2812.1,2717.1,2806.2,NIFTY IT
2005-01-27,2697.6,2729.95,2682.15,2720.5,NIFTY IT
2005-01-25,2632.8,2668.9,2583.25,2663.5,NIFTY IT
2005-01-24,2701.75,2702.4,2627.0,2640.4,NIFTY IT
2005-01-20,2717.1,2717.1,2667.05,2702.4,NIFTY IT
2005-01-19,2717.0,2751.65,2711.1,2719.2,NIFTY IT
2005-01-18,2723.25,2759.2,2703.0,2721.9,NIFTY IT
2005-01-17,2696.25,2733.2,2639.0,2712.3,NIFTY IT
2005-01-14,2710.65,2725.5,2666.55,2692.7,NIFTY IT
2005-01-13,2678.75,2722.05,2667.2,2710.2,NIFTY IT
2005-01-12,2727.15,2773.3,2615.1,2635.6,NIFTY IT
2005-01-11,2755.35,2770.95,2716.25,2726.0,NIFTY IT
2005-01-10,2843.75,2846.1,2740.25,2752.0,NIFTY IT
2005-01-07,2799.4,2838.9,2776.05,2827.0,NIFTY IT
2005-01-06,2841.05,2862.95,2768.95,2803.8,NIFTY IT
2005-01-05,2936.75,2938.9,2804.3,2847.5,NIFTY IT
2005-01-04,2969.7,2978.2,2925.65,2949.1,NIFTY IT
2005-01-03,3088.2,3088.2,2940.85,2969.4,NIFTY IT
